"","id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","work_with_offices_clients_abroad","role_in_organisation...Selected.Choice","role_in_organisation...Other..please.specify....Text","gender","year_of_birth","region","country","ethnicity","ethnicity_other","languages_spoken","countries_abroad_count","countries_abroad_oc","organisational_affiliation_years","workplace_diversity","pql_stimulating_challenges_imp","pql_flexible_imp","pql_weaknesses_imp","pql_manage_emotions_imp","pql_ease_differing_views_imp","pql_stimulating_challenges_exp","pql_flexible_exp","pql_weaknesses_exp","pql_manage_emotions_exp","pql_ease_differing_views_exp","cui_understand_culture_communication_imp","cui_noticing_ways_imp","cui_mixing_socially_imp","cui_learn_foreign_phrases_imp","cui_understan_values_beliefs_imp","cui_understand_culture_communication_exp","cui_noticing_ways_exp","cui_mixing_socially_exp","cui_learn_foreign_phrases_exp","cui_understan_values_beliefs_exp","trl_trust_imp","trl_respect_viewpoints_imp","trl_feeling_part_of_team_imp","trl_support_each_other_imp","trl_know_personally_imp","trl_trust_exp","trl_respect_viewpoints_exp","trl_feeling_part_of_team_exp","trl_support_each_other_exp","trl_know_personally_exp","com_understand_each_other_imp","com_adjusting_language_imp","com_everyone_contributes_imp","com_say_what_you_want_imp","com_listen_to_others_imp","com_clarify_issues_imp","com_account_for_different_language_levels_imp","com_understand_each_other_exp","com_adjusting_language_exp","com_everyone_contributes_exp","com_say_what_you_want_exp","com_listen_to_others_exp","com_clarify_issues_exp","com_account_for_different_language_levels_exp","lmg_handle_opinions_imp","lmg_negative_feedback_imp","lmg_personal_circumstances_imp","lmg_varying_management_style_imp","lmg_motivating_staff_imp","lmg_handle_opinions_eoh","lmg_negative_feedback_eoh","lmg_personal_circumstances_eoh","lmg_varying_management_style_eoh","lmg_motivating_staff_eoh","tmg_clear_goals_imp","tmg_divide_responsibilities_fairly_imp","tmg_peoples_strengths_imp","tmg_ethical_standards_imp","tmg_making_decisions_imp","tmg_keeping_time_imp","tmg_elicit_ideas_imp","tmg_clear_goals_eoh","tmg_divide_responsibilities_fairly_eoh","tmg_peoples_strengths_eoh","tmg_ethical_standards_eoh","tmg_making_decisions_eoh","tmg_keeping_time_eoh","tmg_elicit_ideas_eoh","lao_manage_change_imp","lao_persuade_leaders_new_ways_imp","lao_local_contextual_factors_imp","lao_recruiting_people_imp","lao_combine_different_viewpoints_imp","lao_manage_change_eoh","lao_persuade_leaders_new_ways_eoh","lao_local_contextual_factors_eoh","lao_recruiting_people_eoh","lao_combine_different_viewpoints_eoh","oc","opp","Q_TotalDuration","Q_CHL","isNew","V","rid","RISN","test2","gc","term","manager","missing"
"1",1,"16/01/2019 14:30","16/01/2019 14:35",0,"87.138.140.94",100,260,1,"16/01/2019 14:35","R_3PppeEndn4tVS3H",NA,NA,NA,NA,49.62280273,10.82530212,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1991","Europe","Germany","White",NA,"1",1,NA,"3 years","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,4,4,3,5,4,4,4,4,4,3,4,4,5,3,3,3,3,5,4,4,4,3,5,5,4,4,3,4,4,4,3,NA,"Qual2514-0709Const2",260,"anonymous",NA,"H","5c3f4012-7027-4310-9cac-99369535ae22",NA,NA,1,NA,"no",0
"2",2,"16/01/2019 14:31","16/01/2019 14:35",0,"194.127.24.75",100,261,1,"16/01/2019 14:35","R_1kIeBAeF4EHyO20",NA,NA,NA,NA,50.11529541,8.682296753,"anonymous","EN","consent_academic,consent_teaching",5,"Middle Management (no subordinates/line-reports)",NA,"Male","1979","Europe","Germany","White",NA,"3",2,"England, Morocco","12 years","diversity_education,diversity_part_of_organisation",3,3,5,3,4,3,NA,3,4,4,4,2,4,5,2,4,2,3,4,4,4,3,5,6,6,5,4,5,6,3,5,6,5,4,3,3,4,5,5,5,3,5,4,5,3,NA,5,5,4,5,5,4,5,5,4,6,4,4,5,3,5,5,3,3,6,6,5,6,6,4,4,6,5,6,NA,5,3,4,"I appreciate different cultural und educational backgrunds, so I enjoy working with them ","Qual2514-0709Const2",261,"anonymous",NA,"H","5c3f401f-ed66-458f-86af-cd39e39c18bd",NA,NA,1,NA,"yes",2
"3",3,"16/01/2019 14:28","16/01/2019 14:35",0,"2.206.231.149",100,392,1,"16/01/2019 14:35","R_xgT1unyewj9oWcx",NA,NA,NA,NA,48.89089966,9.189804077,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Female","before 1960","Europe","Germany","White",NA,"1",1,NA,"more than 20 years","diversity_language",3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,3,3,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,"super survey thx","Qual2514-0709Const2",392,"anonymous",NA,"H","5c3f3fa0-6867-44af-94cc-1515a2149780",NA,NA,1,NA,"no",0
"4",4,"16/01/2019 14:31","16/01/2019 14:37",0,"213.205.241.49",100,313,1,"16/01/2019 14:37","R_2azfblZcDuxDTBS",NA,NA,NA,NA,55.80870056,-3.936599731,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Male","1978","Europe","UK","White",NA,"1",1,NA,"8 years","diversity_education,diversity_part_of_organisation,diversity_experience",5,5,5,5,5,3,5,5,4,4,5,5,4,5,5,5,4,2,3,4,5,5,5,5,4,3,3,2,3,2,5,4,5,5,5,5,4,4,2,3,4,4,5,4,5,5,5,5,5,4,5,4,4,4,5,5,6,6,5,5,5,5,4,4,5,4,5,3,5,6,5,4,5,4,2,4,3,4,"Nothing else.","Qual2514-0709Const2",313,"anonymous",NA,"H","5c3f4057-6351-4b09-a209-0c165fd5a745",NA,NA,1,NA,"no",0
"5",5,"16/01/2019 14:32","16/01/2019 14:37",0,"170.253.185.176",100,306,1,"16/01/2019 14:37","R_3JlNzbpjiHlfmX0",NA,NA,NA,NA,34.33079529,-89.48349762,"anonymous","EN","consent_academic,consent_teaching",2,"Middle Management (no subordinates/line-reports)",NA,"Male","1960","Americas","US","White",NA,"1",1,"USA","18 years","diversity_education,diversity_part_of_organisation,diversity_experience",5,5,4,5,5,5,5,3,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,2,5,5,5,5,2,4,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,"Qual2514-0709Const2",306,"anonymous",NA,"H","5c3f4071-b6d6-4d1a-b9df-4ec3b303ceef",NA,NA,1,NA,"yes",0
"6",6,"16/01/2019 14:30","16/01/2019 14:37",0,"194.80.204.233",100,393,1,"16/01/2019 14:37","R_2Yn98pqNxJClMsS",NA,NA,NA,NA,52.0592041,1.155502319,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Female","1987","Europe","UK","White",NA,"1",1,NA,"6 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,4,4,3,6,4,5,3,5,6,4,5,4,5,4,4,4,4,5,5,5,4,5,6,5,5,4,4,4,4,4,5,6,5,4,5,6,6,6,6,6,5,5,6,5,6,5,6,NA,6,5,6,6,6,5,6,6,6,6,5,6,5,5,4,5,4,5,5,6,6,5,6,5,4,5,5,6,"no thanks","Qual2514-0709Const2",393,"anonymous",NA,"H","5c3f4015-9a23-492e-8105-1e9a04916998",NA,NA,1,NA,"yes",1
"7",7,"16/01/2019 14:32","16/01/2019 14:37",0,"80.229.242.248",100,306,1,"16/01/2019 14:37","R_3HNYCMFZs90Au47",NA,NA,NA,NA,53.92529297,-3.010894775,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Female","1962","Europe","UK","White",NA,"1",1,NA,"15 years","diversity_culture",2,5,4,5,4,2,5,4,5,4,4,4,1,2,3,4,4,1,2,3,5,4,4,5,4,5,4,4,5,4,4,1,5,5,5,4,2,4,1,5,4,5,4,2,4,5,6,4,3,4,5,5,4,3,5,4,4,5,3,5,4,5,4,4,5,3,5,4,3,4,4,5,4,3,4,4,5,4,NA,"Qual2514-0709Const2",306,"anonymous",NA,"H","5c3f4077-9e82-4197-b50c-7d7d30e113eb",NA,NA,1,NA,"no",0
"9",9,"16/01/2019 14:36","16/01/2019 14:39",0,"76.18.210.1",100,219,1,"16/01/2019 14:39","R_3n1nlZLmooulIMC",NA,NA,NA,NA,30.15480042,-81.62999725,"anonymous","EN","consent_academic,consent_teaching",4,"Top Management (with responsibilities for one or more managers)",NA,"Male","1960","Americas","US","White",NA,"2",1,"belgium","20 years","diversity_culture,diversity_language",6,5,5,5,5,5,5,4,NA,5,6,6,6,5,5,6,6,5,5,5,5,6,5,6,5,5,6,5,5,6,5,6,6,5,5,5,6,4,5,4,4,5,4,5,6,5,4,6,5,5,6,5,6,6,5,6,5,6,6,4,5,5,5,6,5,6,6,5,6,4,6,5,4,6,6,5,5,5,"there is nothing more to add to this.","Qual2514-0709Const2",219,"anonymous",NA,"H","5c3f4159-845f-412a-b55f-cd2ff8e1f157",NA,NA,1,NA,"yes",1
"10",10,"16/01/2019 14:34","16/01/2019 14:40",0,"94.2.146.240",100,336,1,"16/01/2019 14:40","R_enyHAQCGhbmmmLn",NA,NA,NA,NA,50.74969482,-1.873397827,"anonymous","EN","consent_academic,consent_teaching",6,"Middle Management (no subordinates/line-reports)",NA,"Female","1981","Europe","UK","Mixed race",NA,"1",1,NA,"6 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,3,3,6,5,6,3,3,3,6,3,3,1,4,6,6,3,1,5,6,6,2,5,2,6,6,4,5,3,5,5,3,5,5,5,5,5,6,3,5,5,5,5,4,5,3,4,4,4,2,3,4,4,6,3,5,5,5,5,3,6,3,6,6,5,3,5,5,3,6,1,4,5,3,5,NA,4,NA,"Qual2514-0709Const2",336,"anonymous",NA,"H","5c3f4106-e2b4-4b80-8bf0-cf44b5a5119e",NA,NA,1,NA,"yes",0
"11",11,"16/01/2019 14:30","16/01/2019 14:42",0,"92.21.108.121",100,684,1,"16/01/2019 14:42","R_1DURHYYFq8cVxgW",NA,NA,NA,NA,54.44030762,-1.396606445,"anonymous","EN","consent_academic,consent_teaching",4,"Middle (with subordinates/line-reports)",NA,"Male","1962","Europe","UK","White",NA,"1",3,"China, Russia, USA","less than 1 year","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",5,4,5,6,5,5,4,5,4,3,3,5,4,2,6,3,5,3,1,4,5,4,3,6,3,4,4,4,5,3,5,4,3,2,5,5,4,4,4,3,2,4,4,2,4,5,5,5,6,3,2,4,3,2,6,3,4,6,5,6,4,5,4,4,3,2,1,3,4,5,3,5,4,2,2,4,3,3,NA,"Qual2514-0709Const2",684,"anonymous",NA,"H","5c3f400d-db9b-424e-b700-20e655728d73",NA,NA,1,NA,"yes",0
