id,start,end
1,18/05/2016 14:06,18/05/2016 14:14
2,18/05/2016 14:14,18/05/2016 14:30
3,11/05/2016 14:54,11/05/2016 14:54
4,11/05/2016 15:01,11/05/2016 15:03
5,11/05/2016 15:16,11/05/2016 15:18
6,18/05/2016 15:33,18/05/2016 15:38
7,11/05/2016 15:20,11/05/2016 15:54
8,18/05/2016 15:19,18/05/2016 15:58
9,18/05/2016 16:00,18/05/2016 16:15
10,11/05/2016 16:23,11/05/2016 16:25
11,18/05/2016 16:10,18/05/2016 16:25
12,18/05/2016 16:15,18/05/2016 16:32
13,11/05/2016 16:37,11/05/2016 16:43
14,18/05/2016 16:38,18/05/2016 16:46
15,18/05/2016 16:38,18/05/2016 16:56
16,11/05/2016 16:58,11/05/2016 16:58
17,18/05/2016 16:40,18/05/2016 17:02
18,18/05/2016 17:33,18/05/2016 17:44
19,11/05/2016 18:04,11/05/2016 18:05
20,11/05/2016 18:49,11/05/2016 18:51
21,18/05/2016 18:33,18/05/2016 18:56
22,11/05/2016 20:40,11/05/2016 20:41
23,18/05/2016 20:58,18/05/2016 21:13
24,18/05/2016 21:23,18/05/2016 21:31
25,11/05/2016 21:34,11/05/2016 21:34
26,11/05/2016 21:31,11/05/2016 21:50
27,11/05/2016 21:49,11/05/2016 21:55
28,11/05/2016 08:12,11/05/2016 22:13
29,11/05/2016 22:53,11/05/2016 22:55
30,19/05/2016 07:29,19/05/2016 07:52
31,19/05/2016 08:27,19/05/2016 08:37
32,19/05/2016 08:35,19/05/2016 08:59
33,19/05/2016 08:08,19/05/2016 09:49
34,19/05/2016 08:54,19/05/2016 09:54
35,19/05/2016 10:16,19/05/2016 11:07
36,19/05/2016 11:03,19/05/2016 11:16
37,19/05/2016 11:52,19/05/2016 11:59
38,19/05/2016 11:59,19/05/2016 12:20
39,19/05/2016 12:15,19/05/2016 12:25
40,19/05/2016 12:16,19/05/2016 12:37
41,19/05/2016 12:43,19/05/2016 12:53
42,11/05/2016 10:27,12/05/2016 13:17
43,19/05/2016 12:52,19/05/2016 13:19
44,12/05/2016 13:39,12/05/2016 13:42
45,17/05/2016 21:26,19/05/2016 13:55
46,19/05/2016 13:40,19/05/2016 13:56
47,12/05/2016 14:05,12/05/2016 14:19
48,19/05/2016 14:12,19/05/2016 14:19
49,19/05/2016 12:22,19/05/2016 15:25
50,12/05/2016 15:36,12/05/2016 15:38
51,19/05/2016 15:12,19/05/2016 15:42
52,19/05/2016 15:46,19/05/2016 15:57
53,19/05/2016 16:59,19/05/2016 17:04
54,19/05/2016 19:57,19/05/2016 20:04
55,19/05/2016 20:07,19/05/2016 20:19
56,12/05/2016 20:46,12/05/2016 20:49
57,19/05/2016 22:08,19/05/2016 22:25
58,20/05/2016 07:05,20/05/2016 07:14
59,13/05/2016 07:16,13/05/2016 07:16
60,13/05/2016 08:59,13/05/2016 09:05
61,14/05/2016 19:01,20/05/2016 10:02
62,13/05/2016 11:25,13/05/2016 11:29
63,13/05/2016 11:31,13/05/2016 11:37
64,20/05/2016 11:29,20/05/2016 11:45
65,20/05/2016 14:07,20/05/2016 14:21
66,20/05/2016 14:55,20/05/2016 15:01
67,20/05/2016 16:12,20/05/2016 16:25
68,20/05/2016 17:50,20/05/2016 18:01
69,20/05/2016 18:41,20/05/2016 18:58
70,20/05/2016 19:37,20/05/2016 19:51
71,20/05/2016 20:37,20/05/2016 20:55
72,20/05/2016 20:18,20/05/2016 21:01
73,20/05/2016 22:51,20/05/2016 23:14
74,21/05/2016 09:04,21/05/2016 09:26
75,14/05/2016 09:32,14/05/2016 09:32
76,14/05/2016 09:45,14/05/2016 09:47
77,14/05/2016 09:31,14/05/2016 09:50
78,14/05/2016 09:58,14/05/2016 09:59
79,14/05/2016 10:03,14/05/2016 10:09
80,14/05/2016 10:08,14/05/2016 10:09
81,14/05/2016 10:10,14/05/2016 10:16
82,14/05/2016 09:43,14/05/2016 10:19
83,14/05/2016 10:19,14/05/2016 10:19
84,21/05/2016 10:48,21/05/2016 10:59
85,21/05/2016 11:02,21/05/2016 11:17
86,14/05/2016 11:16,14/05/2016 11:23
87,14/05/2016 11:29,14/05/2016 11:32
88,14/05/2016 11:23,14/05/2016 11:41
89,14/05/2016 11:59,14/05/2016 12:07
90,14/05/2016 12:07,14/05/2016 12:15
91,14/05/2016 12:10,14/05/2016 12:31
92,14/05/2016 12:46,14/05/2016 12:47
93,14/05/2016 13:26,14/05/2016 13:27
94,14/05/2016 13:31,14/05/2016 13:32
95,14/05/2016 13:19,14/05/2016 13:33
96,14/05/2016 13:17,14/05/2016 13:35
97,21/05/2016 14:39,21/05/2016 15:19
98,14/05/2016 17:16,14/05/2016 17:20
99,14/05/2016 17:48,14/05/2016 17:50
100,14/05/2016 18:10,14/05/2016 18:12
101,14/05/2016 17:51,14/05/2016 18:17
102,14/05/2016 19:03,14/05/2016 19:04
103,15/05/2016 07:12,15/05/2016 08:18
104,15/05/2016 10:34,15/05/2016 10:44
105,22/05/2016 12:10,22/05/2016 12:21
106,22/05/2016 17:10,22/05/2016 17:15
107,15/05/2016 19:14,15/05/2016 19:15
108,23/05/2016 07:07,23/05/2016 07:17
109,16/05/2016 08:23,16/05/2016 08:25
110,16/05/2016 11:12,16/05/2016 11:17
111,16/05/2016 11:51,16/05/2016 11:56
112,23/05/2016 11:59,23/05/2016 12:08
113,23/05/2016 14:12,23/05/2016 14:18
114,16/05/2016 16:14,16/05/2016 16:15
115,16/05/2016 16:18,16/05/2016 16:18
116,17/05/2016 21:18,17/05/2016 21:19
117,17/05/2016 21:52,17/05/2016 21:53
118,17/05/2016 21:54,17/05/2016 21:57
119,17/05/2016 22:09,17/05/2016 22:14
120,17/05/2016 22:16,17/05/2016 22:17
121,17/05/2016 22:40,17/05/2016 22:41
122,17/05/2016 22:59,17/05/2016 23:01
123,18/05/2016 00:03,18/05/2016 00:04
124,18/05/2016 01:55,18/05/2016 01:57
125,18/05/2016 06:41,18/05/2016 06:42
126,25/05/2016 06:53,25/05/2016 07:04
127,18/05/2016 08:10,18/05/2016 08:11
128,18/05/2016 10:13,18/05/2016 10:13
129,18/05/2016 10:41,18/05/2016 10:42
130,18/05/2016 09:21,18/05/2016 10:57
131,18/05/2016 12:40,18/05/2016 12:41
132,18/05/2016 12:44,18/05/2016 12:44
133,18/05/2016 12:51,18/05/2016 12:53
134,18/05/2016 12:53,18/05/2016 12:54
135,18/05/2016 12:49,18/05/2016 12:59
136,25/05/2016 12:48,25/05/2016 13:00
137,18/05/2016 13:00,18/05/2016 13:01
138,18/05/2016 13:09,18/05/2016 13:09
139,18/05/2016 13:16,18/05/2016 13:17
140,18/05/2016 13:15,18/05/2016 13:18
141,18/05/2016 13:35,18/05/2016 13:36
142,18/05/2016 13:47,18/05/2016 13:47
143,18/05/2016 13:54,18/05/2016 13:57
144,18/05/2016 13:20,18/05/2016 14:00
145,18/05/2016 14:20,18/05/2016 14:22
146,18/05/2016 15:45,18/05/2016 15:46
147,18/05/2016 16:04,18/05/2016 16:06
148,18/05/2016 16:17,18/05/2016 16:25
149,18/05/2016 16:43,18/05/2016 16:44
150,18/05/2016 16:51,18/05/2016 16:52
151,18/05/2016 15:08,18/05/2016 17:38
152,18/05/2016 17:46,18/05/2016 17:49
153,18/05/2016 18:02,18/05/2016 18:04
154,18/05/2016 18:08,18/05/2016 18:11
155,18/05/2016 18:21,18/05/2016 18:25
156,18/05/2016 19:12,18/05/2016 19:19
157,18/05/2016 19:24,18/05/2016 19:24
158,18/05/2016 20:21,18/05/2016 20:22
159,18/05/2016 20:22,18/05/2016 20:27
160,18/05/2016 20:38,18/05/2016 20:38
161,18/05/2016 20:54,18/05/2016 20:55
162,19/05/2016 09:06,19/05/2016 09:08
163,25/05/2016 22:25,26/05/2016 09:50
164,19/05/2016 10:11,19/05/2016 10:11
165,19/05/2016 10:36,19/05/2016 10:36
