wave,country,satisfaction,freedom_of_choice
1,ARG,8,8
1,ARG,6,7
1,ARG,8,8
1,ARG,4,3
1,ARG,7,6
1,ARG,5,4
1,ARG,3,3
1,ARG,6,3
1,ARG,4,5
1,ARG,6,3
1,ARG,4,8
1,ARG,8,6
1,ARG,7,8
1,ARG,6,7
1,ARG,8,8
1,ARG,7,5
1,ARG,7,6
1,ARG,7,7
1,ARG,6,10
1,ARG,8,10
1,ARG,6,8
1,ARG,8,8
1,ARG,7,3
1,ARG,3,3
1,ARG,4,3
1,ARG,4,4
1,ARG,5,3
1,ARG,3,3
1,ARG,8,6
1,ARG,8,8
1,ARG,5,4
1,ARG,3,7
1,ARG,6,7
1,ARG,6,6
1,ARG,6,5
1,ARG,9,9
1,ARG,10,5
1,ARG,8,7
1,ARG,9,5
1,ARG,7,8
1,ARG,8,7
1,ARG,4,5
1,ARG,4,5
1,ARG,5,6
1,ARG,4,4
1,ARG,3,4
1,ARG,4,7
1,ARG,5,5
1,ARG,4,4
1,ARG,6,7
1,ARG,1,3
1,ARG,3,6
1,ARG,3,3
1,ARG,6,6
1,ARG,6,8
1,ARG,6,5
1,ARG,7,8
1,ARG,5,6
1,ARG,5,4
1,ARG,6,7
1,ARG,2,6
1,ARG,4,4
1,ARG,6,7
1,ARG,5,5
1,ARG,4,6
1,ARG,5,5
1,ARG,3,5
1,ARG,3,4
1,ARG,4,4
1,ARG,5,7
1,ARG,4,5
1,ARG,4,5
1,ARG,8,8
1,ARG,6,7
1,ARG,5,5
1,ARG,8,9
1,ARG,6,6
1,ARG,5,5
1,ARG,3,4
1,ARG,1,3
1,ARG,6,7
1,ARG,6,7
1,ARG,6,8
1,ARG,6,3
1,ARG,5,4
1,ARG,5,3
1,ARG,6,4
1,ARG,5,4
1,ARG,8,8
1,ARG,4,4
1,ARG,6,6
1,ARG,10,5
1,ARG,7,8
1,ARG,5,3
1,ARG,4,7
1,ARG,8,10
1,ARG,9,10
1,ARG,6,8
1,ARG,8,8
1,ARG,7,8
1,ARG,8,6
1,ARG,8,4
1,ARG,8,8
1,ARG,10,5
1,ARG,8,7
1,ARG,8,5
1,ARG,8,7
1,ARG,7,6
1,ARG,5,5
1,ARG,10,10
1,ARG,6,5
1,ARG,8,8
1,ARG,8,9
1,ARG,8,7
1,ARG,8,8
1,ARG,9,7
1,ARG,10,9
1,ARG,3,1
1,ARG,7,6
1,ARG,10,10
1,ARG,8,8
1,ARG,7,6
1,ARG,7,8
1,ARG,6,7
1,ARG,10,1
1,ARG,10,10
1,ARG,2,8
1,ARG,8,10
1,ARG,3,7
1,ARG,10,10
1,ARG,9,9
1,ARG,10,7
1,ARG,10,1
1,ARG,10,10
1,ARG,10,10
1,ARG,7,10
1,ARG,10,10
1,ARG,10,10
1,ARG,10,5
1,ARG,7,10
1,ARG,10,10
1,ARG,4,8
1,ARG,8,9
1,ARG,9,10
1,ARG,9,7
1,ARG,6,6
1,ARG,5,10
1,ARG,7,7
1,ARG,6,8
1,ARG,6,5
1,ARG,10,8
1,ARG,10,8
1,ARG,8,7
1,ARG,7,7
1,ARG,4,10
1,ARG,8,7
1,ARG,7,8
1,ARG,10,10
1,ARG,7,10
1,ARG,9,1
1,ARG,7,5
1,ARG,9,10
1,ARG,10,8
1,ARG,7,10
1,ARG,10,10
1,ARG,10,10
1,ARG,1,4
1,ARG,9,10
1,ARG,8,8
1,ARG,4,5
1,ARG,2,6
1,ARG,10,5
1,ARG,10,10
1,ARG,8,5
1,ARG,9,4
1,ARG,10,9
1,ARG,10,7
1,ARG,8,9
1,ARG,8,8
1,ARG,7,7
1,ARG,9,9
1,ARG,8,5
1,ARG,8,7
1,ARG,9,9
1,ARG,8,7
1,ARG,10,5
1,ARG,10,10
1,ARG,9,10
1,ARG,5,7
1,ARG,8,5
1,ARG,9,10
1,ARG,7,8
1,ARG,7,7
1,ARG,7,5
1,ARG,7,9
1,ARG,8,10
1,ARG,8,5
1,ARG,6,6
1,ARG,6,5
1,ARG,7,5
1,ARG,7,8
1,ARG,6,4
1,ARG,4,5
1,ARG,8,8
1,ARG,9,5
1,ARG,6,9
1,ARG,8,5
1,ARG,8,8
1,ARG,7,8
1,ARG,6,6
1,ARG,8,7
1,ARG,7,6
1,ARG,8,7
1,ARG,8,7
1,ARG,8,7
1,ARG,8,7
1,ARG,9,9
1,ARG,7,3
1,ARG,7,7
1,ARG,7,5
1,ARG,7,6
1,ARG,8,7
1,ARG,8,9
1,ARG,7,6
1,ARG,8,7
1,ARG,8,5
1,ARG,10,5
1,ARG,10,10
1,ARG,7,9
1,ARG,7,8
1,ARG,8,7
1,ARG,6,8
1,ARG,8,8
1,ARG,7,5
1,ARG,7,6
1,ARG,6,10
1,ARG,8,10
1,ARG,9,9
1,ARG,9,10
1,ARG,9,10
1,ARG,9,10
1,ARG,8,8
1,ARG,8,8
1,ARG,8,8
1,ARG,9,9
1,ARG,8,9
1,ARG,10,10
1,ARG,10,10
1,ARG,7,8
1,ARG,7,8
1,ARG,7,9
1,ARG,9,10
1,ARG,9,10
1,ARG,9,10
1,ARG,10,10
1,ARG,9,10
1,ARG,9,10
1,ARG,9,10
1,ARG,9,10
1,ARG,10,10
1,ARG,9,8
1,ARG,9,10
1,ARG,9,10
1,ARG,10,10
1,ARG,10,10
1,ARG,7,6
1,ARG,7,4
1,ARG,8,8
1,ARG,8,7
1,ARG,6,6
1,ARG,6,7
1,ARG,6,5
1,ARG,5,6
1,ARG,7,7
1,ARG,2,5
1,ARG,6,6
1,ARG,7,8
1,ARG,6,7
1,ARG,4,5
1,ARG,5,8
1,ARG,5,6
1,ARG,4,6
1,ARG,7,7
1,ARG,6,7
1,ARG,8,9
1,ARG,6,7
1,ARG,7,8
1,ARG,6,5
1,ARG,7,8
1,ARG,10,9
1,ARG,4,6
1,ARG,5,5
1,ARG,7,4
1,ARG,6,8
1,ARG,7,6
1,ARG,10,10
1,ARG,6,10
1,ARG,8,8
1,ARG,7,2
1,ARG,5,4
1,ARG,5,5
1,ARG,5,5
1,ARG,7,3
1,ARG,6,5
1,ARG,4,4
1,ARG,9,9
1,ARG,6,8
1,ARG,8,8
1,ARG,4,5
1,ARG,1,6
1,ARG,7,5
1,ARG,9,10
1,ARG,10,9
1,ARG,4,3
1,ARG,5,4
1,ARG,3,3
1,ARG,4,3
1,ARG,5,4
1,ARG,8,7
1,ARG,8,10
1,ARG,6,10
1,ARG,8,5
1,ARG,8,4
1,ARG,8,6
1,ARG,9,7
1,ARG,7,8
1,ARG,8,7
1,ARG,8,6
1,ARG,7,7
1,ARG,5,3
1,ARG,8,8
1,ARG,7,6
1,ARG,5,7
1,ARG,1,3
1,ARG,9,7
1,ARG,1,7
1,ARG,1,6
1,ARG,3,2
1,ARG,4,6
1,ARG,1,1
1,ARG,8,10
1,ARG,6,6
1,ARG,4,3
1,ARG,4,3
1,ARG,4,3
1,ARG,3,2
1,ARG,5,5
1,ARG,6,5
1,ARG,4,6
1,ARG,5,5
1,ARG,4,5
1,ARG,4,6
1,ARG,6,7
1,ARG,6,6
1,ARG,6,5
1,ARG,5,6
1,ARG,9,8
1,ARG,6,5
1,ARG,5,5
1,ARG,6,4
1,ARG,7,7
1,ARG,6,5
1,ARG,5,5
1,ARG,5,6
1,ARG,5,7
1,ARG,6,6
1,ARG,5,6
1,ARG,6,6
